ds,1,2,3,4,5,6
2022-01-03,107.0,35.0,,,,35.0
2022-01-04,130.0,53.0,,,,135.0
2022-01-05,223.0,340.0,,,,10.0
2022-01-06,25.0,287.0,,,,6.0
2022-01-07,34.0,12.0,,,,183.0
2022-01-10,229.0,16.0,,,,8.0
2022-01-11,51.0,13.0,,,,1.0
2022-01-12,24.0,14.0,,,,3.0
2022-01-13,20.0,3.0,,,,10.0
2022-01-14,1.0,4.0,,,,1.0
2022-01-17,94.0,41.0,,,,33.0
2022-01-19,23.0,14.0,,,10.0,6.0
2022-01-21,14.0,21.0,,,,
2022-01-24,56.0,24.0,,,,2.0
2022-01-25,23.0,5.0,,,,3.0
2022-01-26,1.0,,,,,15.0
2022-01-27,15.0,5.0,,,,11.0
2022-01-31,18.0,11.0,,,,5.0
2022-02-01,193.0,2.0,,,,25.0
2022-02-02,5.0,6.0,,,,
2022-02-03,,1.0,,,,
2022-02-04,19.0,,,,,2.0
2022-02-07,3.0,10.0,,,,10.0
2022-02-08,50.0,3.0,,,,
2022-02-09,,5.0,,,,
2022-02-10,1.0,5.0,,,,8.0
2022-02-11,30.0,,,,,
2022-02-14,13.0,2.0,,,,
2022-02-16,12.0,3.0,,,,6.0
2022-02-17,6.0,,,,,4.0
2022-02-21,,4.0,,,,6.0
2022-03-04,109.0,,,,,
2022-03-10,10.0,,,,,
2022-03-15,2.0,3.0,,,,
2022-03-17,1.0,,,,,
2022-03-18,76.0,21.0,,,,14.0
2022-03-21,4.0,,,,,
2022-03-22,18.0,20.0,,,,
2022-03-23,4.0,,,,,
2022-03-24,,5.0,,,,
2022-03-25,88.0,,,,,
2022-03-28,3.0,,,,,
2022-03-29,11.0,15.0,,,,
2022-04-01,6.0,2.0,,,,
2022-04-05,33.0,,,,,
2022-04-08,15.0,,,,,
2022-04-18,17.0,,,,,
2022-04-19,3.0,1.0,,,,
2022-04-22,22.0,,,,,
2022-04-25,,1.0,,,,
2022-04-26,,6.0,,,,
2022-04-28,217.0,5.0,,,,
2022-04-29,26.0,101.0,,,,
2022-05-02,23.0,8.0,,,,
2022-05-03,5.0,,,,,
2022-05-04,5.0,,,,,
2022-05-05,13.0,,,,,
2022-05-09,16.0,1.0,,,,
2022-05-10,6.0,,,,,
2022-05-11,30.0,,,,,
2022-05-16,,,,,18.0,
2022-05-17,,40.0,,,,
2022-05-18,43.0,11.0,,,,
2022-05-19,18.0,,,,,
2022-05-23,71.0,1.0,,,,
2022-05-24,81.0,,,,,
2022-05-25,380.0,,,,,
2022-05-26,1.0,,,,,
2022-05-27,41.0,,,,,
2022-05-30,107.0,1.0,,,,
2022-05-31,27.0,,,,,
2022-06-01,6.0,,,,,
2022-06-03,,36.0,,,,
2022-06-06,62.0,1.0,,,,
2022-06-07,285.0,15.0,,,,
2022-06-09,1.0,,,,,
2022-06-14,329.0,,,,,
2022-06-15,404.0,,,,,
2022-06-17,476.0,53.0,,,,
2022-06-21,398.0,21.0,,,,
2022-06-22,144.0,,,,,
2022-06-23,92.0,,,,,
2022-06-24,39.0,107.0,,,,
2022-06-27,14.0,,,,,
2022-06-28,5.0,,,,,
2022-06-29,4.0,,,,,
2022-06-30,44.0,,,,,
2022-07-01,1.0,,,,,
2022-07-04,219.0,,,,,
2022-07-05,74.0,,,,,
2022-07-06,2.0,,,,,
2022-07-07,2.0,3.0,,,,
2022-07-08,409.0,82.0,,,,
2022-07-11,63.0,9.0,,,,
2022-07-12,19.0,,,,,
2022-07-13,12.0,,,,,
2022-07-14,473.0,239.0,,,,
2022-07-15,88.0,,,,,
2022-07-18,385.0,,,,,
2022-07-19,234.0,,,,,
2022-07-20,37.0,,,,,
2022-07-21,588.0,325.0,,,,
2022-07-22,15.0,1.0,,,,
2022-07-25,117.0,102.0,,,,
2022-07-26,294.0,6.0,,,,
2022-07-27,152.0,13.0,,,,
2022-07-28,617.0,3.0,,,,
2022-07-29,,2.0,,,,
2022-07-31,2.0,,,,,
2022-08-01,39.0,5.0,,,,
2022-08-02,203.0,121.0,,,,
2022-08-03,25.0,21.0,,,,
2022-08-04,35.0,20.0,,,,
2022-08-05,237.0,34.0,,,,
2022-08-08,201.0,7.0,,,,
2022-08-10,1210.0,7.0,,,,
2022-08-11,193.0,9.0,,,,
2022-08-12,277.0,272.0,,,,
2022-08-15,127.0,285.0,,,,
2022-08-16,183.0,1.0,,,,
2022-08-17,286.0,507.0,,,,4.0
2022-08-18,565.0,788.0,,,,
2022-08-19,87.0,948.0,,,,
2022-08-22,814.0,3.0,,,,
2022-08-23,389.0,18.0,,,,
2022-08-24,896.0,53.0,,,,
2022-08-25,356.0,,,,,
2022-08-26,4.0,,,,,
2022-08-29,557.0,,,,,
2022-08-31,1053.0,230.0,,,,2.0
2022-09-01,3169.0,1347.0,,,,
2022-09-02,951.0,441.0,,,,
2022-09-05,708.0,,,,,
2022-09-06,195.0,158.0,,,,3.0
2022-09-07,,41.0,,,,
2022-09-08,1161.0,168.0,,,,
2022-09-09,1837.0,5.0,,,,
2022-09-12,2180.0,,,,,
2022-09-13,1401.0,88.0,,,,
2022-09-14,2605.0,616.0,,,,
2022-09-15,1028.0,799.0,,,,
2022-09-16,3252.0,1756.0,,,,
2022-09-19,1734.0,846.0,,,8.0,
2022-09-20,1758.0,605.0,272.0,,,
2022-09-21,2820.0,686.0,,,,
2022-09-22,1823.0,1860.0,,,,
2022-09-23,1809.0,1432.0,,,,
2022-09-24,498.0,,,,,
2022-09-26,1214.0,560.0,,,,72.0
2022-09-27,2701.0,1399.0,,,435.0,642.0
2022-09-28,3074.0,201.0,,,764.0,511.0
2022-09-29,2317.0,656.0,,,274.0,419.0
2022-09-30,772.0,1923.0,,,738.0,349.0
2022-10-03,1134.0,620.0,,375.0,251.0,
2022-10-04,792.0,353.0,,,,9.0
2022-10-05,5770.0,1251.0,,1311.0,2082.0,1344.0
2022-10-06,3193.0,3608.0,,1174.0,1930.0,77.0
2022-10-07,4985.0,1218.0,,1818.0,2943.0,1173.0
2022-10-10,423.0,695.0,133.0,1.0,603.0,
2022-10-11,3846.0,3348.0,4.0,867.0,2430.0,803.0
2022-10-13,3041.0,769.0,290.0,553.0,446.0,
2022-10-14,5250.0,2295.0,932.0,1441.0,1541.0,1667.0
2022-10-17,1602.0,233.0,171.0,,73.0,1220.0
2022-10-18,2534.0,1701.0,903.0,1436.0,3403.0,3520.0
2022-10-19,6045.0,2048.0,922.0,1929.0,1227.0,2046.0
2022-10-20,3207.0,2399.0,543.0,44.0,3219.0,1654.0
2022-10-21,5377.0,4389.0,2038.0,526.0,266.0,1561.0
2022-10-22,320.0,581.0,,,,
2022-10-23,,,,,,1.0
2022-10-24,5132.0,1946.0,,194.0,2599.0,507.0
2022-10-25,6293.0,2857.0,291.0,435.0,2216.0,3353.0
2022-10-26,5345.0,659.0,,719.0,1851.0,2543.0
2022-10-27,9648.0,4039.0,,1433.0,4322.0,3644.0
2022-10-28,5121.0,1826.0,,669.0,1800.0,3726.0
2022-10-30,700.0,384.0,,,183.0,812.0
2022-10-31,4775.0,3455.0,,557.0,3887.0,1697.0
2022-11-01,7994.0,5641.0,,738.0,3762.0,853.0
2022-11-02,1.0,,,,,
2022-11-03,4023.0,4727.0,,932.0,6656.0,3630.0
2022-11-04,2036.0,1017.0,,,,
2022-11-05,3179.0,4129.0,,,4397.0,7.0
2022-11-06,11.0,14.0,,,,6.0
2022-11-07,3131.0,2801.0,12.0,2524.0,1496.0,1458.0
2022-11-08,3124.0,3259.0,,,,
2022-11-09,6937.0,4249.0,,490.0,10326.0,2234.0
2022-11-10,7908.0,4599.0,,737.0,5741.0,2152.0
2022-11-11,6532.0,5675.0,,2913.0,9012.0,3648.0
2022-11-12,433.0,512.0,1.0,132.0,262.0,526.0
2022-11-13,64.0,29.0,,,,
2022-11-14,7055.0,5973.0,,992.0,3033.0,3408.0
2022-11-15,2102.0,1123.0,,1.0,171.0,207.0
2022-11-16,3081.0,5462.0,,880.0,6088.0,2599.0
2022-11-17,5727.0,4272.0,,1328.0,3089.0,1778.0
2022-11-18,8985.0,3034.0,,1484.0,2546.0,2192.0
2022-11-19,,4.0,,,,
2022-11-21,4194.0,2857.0,,37.0,471.0,1234.0
2022-11-22,3965.0,5003.0,6.0,311.0,1753.0,808.0
2022-11-23,3150.0,2484.0,,127.0,419.0,799.0
2022-11-24,6254.0,3208.0,,238.0,,255.0
2022-11-25,2257.0,1397.0,,1.0,,624.0
2022-11-28,932.0,208.0,21.0,,,300.0
2022-11-29,1453.0,104.0,,,,4077.0
2022-11-30,751.0,112.0,,4.0,,114.0
2022-12-01,637.0,1132.0,,,,58.0
2022-12-02,725.0,495.0,,318.0,,58.0
2022-12-03,51.0,1254.0,,,,
2022-12-05,825.0,295.0,,,,130.0
2022-12-06,1137.0,89.0,,,,773.0
2022-12-07,1341.0,60.0,,,,601.0
2022-12-08,853.0,387.0,,,,262.0
2022-12-09,448.0,446.0,,,,2.0
2022-12-10,1500.0,139.0,,,,
2022-12-11,326.0,109.0,,,,5.0
2022-12-12,1084.0,360.0,,,,271.0
2022-12-13,2363.0,1117.0,,,,440.0
2022-12-14,810.0,450.0,,,,12.0
2022-12-15,494.0,884.0,,598.0,,24.0
2022-12-16,134.0,1339.0,,,,13.0
2022-12-17,,821.0,,,,
2022-12-19,1224.0,966.0,,,,62.0
2022-12-20,1093.0,410.0,,,,4.0
2022-12-21,686.0,,,,,
2022-12-22,312.0,732.0,,,,11.0
2022-12-23,116.0,,,,,
2022-12-26,109.0,383.0,,,,
2022-12-27,116.0,23.0,,,,
2022-12-28,33.0,6.0,,,,
